min_samples_split,n_estimators,scaler,transformer,maes,times,seeds
39,245,,BCM,5.225460521249452,4.336660623550415,90125
11,725,BCM,BCM,4.729679329264836,16.481892824172974,90126
3,759,,Standard,4.357143384424446,22.580974340438843,90127
22,1288,Median,,4.577667589262542,27.24190902709961,90128
13,262,Median,,4.513730091370356,6.468296527862549,90129
31,408,Median,,4.743650987362059,8.305766582489014,90130
25,1011,Standard,BCM,4.963333721733312,19.81746768951416,90131
24,151,Standard,Standard,4.665089782903821,3.299269199371338,90132
9,329,Standard,Standard,4.395209606980803,8.186866760253906,90133
2,326,Standard,BCM,4.642915827544635,10.119479656219482,90134
26,637,Median,Standard,4.633894717781362,13.05232572555542,90135
10,552,SinMedian,Standard,4.409338660683133,13.889045476913452,90136
5,974,BCM,Standard,4.353229787315116,27.193546533584595,90137
45,1060,,BCM,5.280809418054058,17.46445345878601,90138
47,893,Standard,Median,4.919966082609752,16.05729913711548,90139
17,1098,,Standard,4.49967879474238,24.088741302490234,90140
49,1316,Standard,BCM,5.33908489108527,20.59306502342224,90141
24,1009,,SinMedian,5.007842664287321,19.500526428222656,90142
39,323,SinMedian,BCM,5.203877856690713,5.600177764892578,90143
34,1452,Median,Standard,4.724448001875712,27.46684217453003,90144
9,253,,Median,4.433695427970996,6.27432656288147,90145
48,938,BCM,Standard,4.914805457661379,15.765544176101685,90146
15,906,BCM,,4.519724634768116,21.357760667800903,90147
23,1488,Median,,4.5948047295231325,30.86825466156006,90148
29,159,SinMedian,BCM,5.078891483735052,2.8621814250946045,90149
13,1366,SinMedian,,4.481172562007013,32.28213977813721,90150
32,881,,Standard,4.712012915700833,17.46039628982544,90151
20,106,Median,,4.610278556462301,2.374862670898437,90152
19,899,BCM,Median,4.552112593518159,20.497152090072632,90153
30,426,,Standard,4.698665885124992,8.209364175796509,90154
32,499,BCM,Median,4.741941478626615,9.663501977920532,90155
35,140,,,4.824643986352333,2.649784564971924,90156
41,276,BCM,Standard,4.838816624126308,4.95004415512085,90157
20,480,Median,BCM,4.871211576584057,10.166013240814207,90158
17,911,Standard,Median,4.53131276834324,21.87633419036865,90159
22,640,BCM,Standard,4.570266537229789,13.964836835861206,90160
35,1044,BCM,BCM,5.1155513938543375,18.18607997894287,90161
27,415,BCM,Standard,4.6532303524828,8.475733280181885,90162
21,1059,Standard,,4.581398250575238,22.370294332504272,90163
45,706,SinMedian,BCM,5.284506790007715,11.967856407165527,90164
11,460,,BCM,4.751556755781726,10.97096562385559,90165
23,1330,SinMedian,Standard,4.573967066804958,28.6697416305542,90166
49,1495,BCM,BCM,5.335799190329933,22.714161157608032,90167
30,1268,SinMedian,,4.705196036441441,25.68900775909424,90168
4,984,BCM,SinMedian,4.694759467591806,26.9845986366272,90169
37,959,Standard,Median,4.794331500858342,18.421879768371586,90170
22,1082,BCM,,4.583900110034253,24.04593706130981,90171
20,1321,,Median,4.561490001262946,28.51444125175476,90172
10,119,SinMedian,BCM,4.785581427328142,2.81245231628418,90173
10,983,Median,Standard,4.404857306299625,23.958315134048465,90174
2,1245,BCM,Standard,4.315432099022239,39.73805332183838,90175
44,798,,SinMedian,5.335025521336359,13.353688716888428,90176
16,1285,Median,SinMedian,4.871146687187545,27.299350261688232,90177
24,401,SinMedian,,4.634996469280215,8.70401668548584,90178
36,110,,BCM,5.178669132519399,2.062250852584839,90179
21,461,BCM,SinMedian,4.939033924913173,8.897742986679077,90180
39,176,Standard,BCM,5.253390056922149,3.113632202148437,90181
44,724,Median,BCM,5.267558421934469,11.717887163162231,90182
36,667,,BCM,5.148649335389211,11.189175605773926,90183
16,155,SinMedian,Standard,4.540441161560713,3.625454664230346,90184
30,691,Median,Standard,4.686725689882148,13.335899591445925,90185
40,250,BCM,Median,4.84098098739003,4.761056184768677,90186
46,627,BCM,BCM,5.307422642178549,10.101304054260254,90187
21,634,,SinMedian,4.949364295103217,12.240309476852415,90188
49,148,SinMedian,,5.023011954796025,2.51391077041626,90189
25,1304,,SinMedian,5.016331530542375,23.674344301223755,90190
26,1242,,Standard,4.619861398013104,25.2053804397583,90191
22,515,Median,Median,4.604235952167621,10.865628957748411,90192
48,1071,SinMedian,,4.958452944625097,18.666009426116943,90193
14,386,SinMedian,Median,4.483609435528474,8.859770774841309,90194
14,977,SinMedian,,4.499800990016318,22.5380494594574,90195
40,634,Median,Standard,4.811863243507616,11.437426328659058,90196
45,1444,BCM,Standard,4.866802057186454,24.719308614730835,90197
27,549,SinMedian,Standard,4.64831710103691,10.8691303730011,90198
20,1161,BCM,Median,4.562252187752744,25.166795015335083,90199
22,552,BCM,Median,4.6085451355104885,11.743930101394652,90200
5,80,,SinMedian,4.799221323362023,2.0021510124206543,90201
49,1210,,Median,4.934468129239594,20.74694585800171,90202
30,259,Median,Standard,4.71905691635689,5.121191740036011,90203
43,1475,BCM,,4.88074563856466,26.86989974975586,90204
